id,place,city,area,category,price,verdict,visited,why,who_vetoes,in_catalog,verified
L-23,St. JOHN,London,Smithfield,restaurant,$$$,love,no,"the plain white room, seated, booked; the one place where my reading and Sam's rules agree completely",—,unknown,—
L-24,Quality Chop House,London,Farringdon,restaurant,$$$,like,no,"booked, seated, handsome tiled room; the bench seating is a knee question — Sam would ask for a chair",—,unknown,—
L-25,Bocca di Lupo,London,Soho,Italian restaurant,$$$,like,no,"bookable, a table not the counter, Italian done straight — fine at 18:30, loud later",—,unknown,—
L-26,Trullo,London,Highbury,Italian restaurant,$$$,like,no,"seated, booked, calm; far from Marylebone — a cab there and back, which Sam would rather than the tube",—,unknown,—
L-27,Bar Termini,London,Soho,bar,$$,like,no,"tiny and seated; one negroni before dinner, not a long stay; Sam would allow twenty minutes",—,unknown,—
L-28,Dishoom Covent Garden,London,Covent Garden,Indian restaurant,$$,never,no,"everyone tells me to go; the queue is the one thing Sam has said 'never' out loud about",Sam,unknown,—
L-29,Padella,London,Borough,pasta restaurant,$$,no,no,"I'd queue for it alone in a heartbeat; the queue itself is the problem",Sam,unknown,—
L-30,Sketch,London,Mayfair,restaurant and tea room,$$$$,never,no,"the pink room I would photograph; the bill and the scene — Sam's flinch, and mine if I'm honest",Sam,unknown,—
L-31,The Ledbury,London,Notting Hill,fine dining,$$$$,never,no,"top of every list I open; roughly twice our ceiling; not this trip and I know it",Sam,unknown,—
L-32,Kiln,London,Soho,Thai grill,$$,no,no,"counter stools, heat, a wait — my food, Sam's three no's at once",Sam,unknown,—
L-33,Gordon's Wine Bar,London,Embankment,wine bar,$$,no,no,"candlelit and famous; standing, packed, steps down — Sam won't, and would be right",Sam,unknown,—
L-34,Borough Market,London,Borough,market,$,never,no,"Saturday crowds and standing-up eating are the opposite of Sam's trip; I'll walk through alone if I get an hour",Sam,unknown,—
L-35,The Wallace Collection,London,Marylebone,gallery,free,love,no,"ten minutes from the hotel, benches, a covered courtyard for a long lunch — Sam's ideal afternoon, and I'd take the pictures",—,unknown,—
L-36,Daunt Books Marylebone,London,Marylebone,bookshop,free,love,no,"Sam is a librarian; this is the hour she will talk about for a year; the trip's real highlight, not a dinner",—,unknown,—
L-37,Regent's Park,London,Regent's Park,park walk,free,like,no,"benches every hundred yards — the walk Sam can actually do, and near the hotel",—,unknown,—
L-38,Ottolenghi Marylebone,London,Marylebone,café and deli,$$,fine,no,"near the hotel, communal tables; a good lunch with no story attached — I'd never name it, Sam would happily go",—,unknown,—
L-39,Barbican Conservatory,London,Barbican,conservatory,free,like,no,"a sit-down glasshouse; I'd check which days it opens before promising Sam",—,unknown,—
