month,line,revenue_usd,landed_cogs_usd,direct_costs_usd
2026-03,griddles_other,25224,10764,303
2026-03,care_accessories,32006,11074,384
2026-03,sets,14879,6864,179
2026-04,skillets,134405,53246,1613
2026-04,dutch_ovens,40013,17210,480
2026-04,griddles_other,20125,8428,242
2026-04,care_accessories,23401,7946,281
2026-04,sets,11692,5294,140
2026-05,skillets,114374,46071,1372
2026-05,dutch_ovens,34242,14975,411
2026-05,griddles_other,17163,7308,206
2026-05,care_accessories,23967,8275,288
2026-05,sets,9892,4554,119
2026-06,skillets,104716,41768,1257
2026-06,dutch_ovens,32607,14121,391
2026-06,griddles_other,16432,6929,197
2026-06,care_accessories,19748,6752,237
2026-06,sets,8987,4097,108
2026-07,skillets,90481,36146,1086
2026-07,dutch_ovens,26493,11491,318
2026-07,griddles_other,14017,5920,168
2026-07,care_accessories,17140,5869,206
2026-07,sets,8264,3773,99
2026-08,skillets,106398,43318,1277
2026-08,dutch_ovens,28704,12688,344
2026-08,griddles_other,17136,7375,206
2026-08,care_accessories,18257,6371,219
2026-08,sets,8275,3850,99
2026-09,skillets,108091,43612,1297
2026-09,dutch_ovens,30868,13522,370
2026-09,griddles_other,18292,7802,220
2026-09,care_accessories,20246,7002,243
2026-09,sets,9149,4219,110
2026-10,skillets,126290,51167,1515
2026-10,dutch_ovens,39318,17295,472
2026-10,griddles_other,19527,8364,234
2026-10,care_accessories,23081,8015,277
2026-10,sets,11267,5217,135
2026-11,skillets,193872,77904,2326
2026-11,dutch_ovens,56871,24811,682
2026-11,griddles_other,26164,11114,314
2026-11,care_accessories,31805,10955,382
2026-11,sets,15186,6974,182
2026-12,skillets,188493,75465,2262
2026-12,dutch_ovens,62054,26974,745
2026-12,griddles_other,31245,13224,375
2026-12,care_accessories,36757,12614,441
2026-12,sets,18281,8365,219
2027-01,skillets,88654,36070,1064
2027-01,dutch_ovens,25380,11211,305
2027-01,griddles_other,12552,5399,151
2027-01,care_accessories,16962,5915,204
2027-01,sets,7564,3517,91
2027-02,skillets,88255,35552,1059
2027-02,dutch_ovens,27055,11833,325
2027-02,griddles_other,13484,5742,162
2027-02,care_accessories,18009,6218,216
2027-02,sets,7880,3628,95
